City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,76.14,80,84,12.08,PF,1606686810
1,georgetown,5.41,100.34,78.8,94,20,2.24,MY,1606686795
2,sao felix do xingu,-6.64,-51.99,78.51,75,100,0.98,BR,1606686810
3,longyearbyen,78.22,15.64,17.6,57,75,9.17,SJ,1606686811
4,lavrentiya,65.58,-171.0,14.7,93,3,12.66,RU,1606686811
5,ushuaia,-54.8,-68.3,50.0,71,75,6.93,AR,1606686535
6,mundo nuevo,18.7,-95.5,78.57,78,0,9.55,MX,1606686811
7,auki,-8.77,160.7,80.71,80,97,4.92,SB,1606686811
8,kidal,18.44,1.41,73.0,20,40,8.61,ML,1606686811
9,sayyan,15.17,44.32,50.81,70,1,1.72,YE,1606686811
10,lebu,-37.62,-73.65,55.69,67,0,26.6,CL,1606686811
11,new norfolk,-42.78,147.06,64.0,42,50,1.99,AU,1606686812
12,arraial do cabo,-22.97,-42.03,77.0,78,0,19.46,BR,1606686812
13,ancud,-41.87,-73.82,53.6,66,75,4.7,CL,1606686812
14,mezhdurechensk,53.69,88.06,11.08,94,100,1.54,RU,1606686812
15,bubaque,11.28,-15.83,82.17,52,77,8.34,GW,1606686812
16,guano,-1.58,-78.63,73.4,78,40,3.36,EC,1606686812
17,qaqortoq,60.72,-46.03,23.0,53,100,3.36,GL,1606686812
18,bowen,-20.02,148.23,78.8,61,75,5.82,AU,1606686589
19,nikolskoye,59.7,30.79,30.2,86,90,13.42,RU,1606686812
20,albany,42.6,-73.97,45.0,49,44,3.24,US,1606686607
21,jalu,29.03,21.55,57.61,66,0,11.21,LY,1606686813
22,puerto ayora,-0.74,-90.35,75.2,78,75,10.29,EC,1606686813
23,miram shah,33.01,70.07,54.97,38,0,3.13,PK,1606686813
24,bluff,-46.6,168.33,55.99,86,100,8.01,NZ,1606686813
25,tasiilaq,65.61,-37.64,14.0,47,0,2.24,GL,1606686813
26,carnarvon,-24.87,113.63,68.0,72,40,23.04,AU,1606686814
27,vila velha,-20.33,-40.29,78.8,74,40,11.41,BR,1606686814
28,nanortalik,60.14,-45.24,28.87,86,100,7.43,GL,1606686814
29,busselton,-33.65,115.33,48.99,96,23,5.99,AU,1606686814
30,padang,-0.95,100.35,77.04,72,81,3.62,ID,1606686814
31,yar-sale,66.83,70.83,19.24,95,100,20.49,RU,1606686814
32,kavieng,-2.57,150.8,79.45,86,100,15.5,PG,1606686814
33,bose,45.46,8.01,43.0,86,0,0.96,IT,1606686814
34,norman wells,65.28,-126.83,-5.8,83,40,4.47,CA,1606686815
35,cape town,-33.93,18.42,61.0,82,20,14.99,ZA,1606686815
